id,smiles
91,Cn1nccc1C(=O)NCc1csc(-c2ncn[nH]2)n1
92,Cc1nsc(NC2CCCC2c2csc(-c3nc[nH]n3)n2)n1
93,CCc1nc(NC(=O)c2ccnc(NC3CC=CC3)c2)no1
95,O=c1ccncn1CC1CCS(=O)(=O)C1
98,O=S(=O)(Nc1ccccn1)c1cccc(Cc2cccs2)c1O
100,O=c1ccccn1Cc1noc(-c2cnc3[nH]ccc3c2)n1
101,Cc1[nH][nH]c(=O)c1CC(=O)Nc1cnc2[nH]ccc2c1
104,Cn1c(N)nc2cccc(NCc3cccs3)c21
372,CNc1cnc2cccc(NCc3cccs3)c2n1
555,CN(Cc1cccc(O)n1)C(=O)c1cn[nH]c1
569,Cc1cc(CCC(C)NC(N)=O)cc(N(C)NC=O)n1
576,NC(=O)Nc1cccc(NC(=O)CCc2nc(Cn3ccccc3=O)no2)c1
596,CCC(N)Nc1cccc(C(CS)C(=O)NC2CCC(=O)NC2)c1
627,NC(=O)c1ccc(C(=O)NC2CCC(=O)NC2)c(Cl)c1
653,CCOc1ncccc1C(=O)N(C)Cc1ccc(O)nc1
662,CCOc1ncccc1C(=O)N(C)C1CCC(=O)NN1
680,CN(c1ccncc1)C1CCN(c2ccccc2F)C1=O
718,Cc1ccncc1NC(=O)Cn1[nH]c(=O)c(CCO)c1C
760,CN(C)C(=O)CNCc1cccc2nc(N)sc12
796,Nc1cc(-c2cc[nH]n2)cc2c1OCO2
804,On1nccc1-c1ccc2c(c1)OCO2
849,O=C(NCc1cccs1)c1c(O)ccc2c1OCO2
992,CCCNc1cc(CCC(C)C)c[nH]1
1001,COC(=O)c1cnc2[nH]cc(C)cc1-2
1012,Cc1ccncc1NC(=O)Cc1cccc(O)n1
1029,CN(Cc1cccc(O)n1)C(=O)COc1cccc(F)c1
1119,CC(C)c1cc(Br)ccc1ON
1128,CC(C)c1cccc2[nH]cnc12
1192,Cn1nccc1C(=O)NCc1ccc(O)s1
1257,CN(c1nc(Cn2ccccc2=O)no1)c1nccc2ccccc12
1316,CC1CN(C(=O)c2cccc(F)c2)CCN1
1444,O=C1CCC(NC(=O)C2CSC3(CCNC(=O)C3)N2)CN1
1446,CN(C)C(=O)CN(C=O)c1cc[nH]c(=O)c1
1466,CNc1nc2cc(F)ccc2nc1N
1472,CNc1cnc2cccc(NCC(=O)N(C)C)c2n1
1473,CC(C)(C)c1cnc2ccccc2n1
1476,CCOc1cccc2ncc(NC)nc12
1500,Cc1c(C(=O)NCO)ccnc1NC1CC=CC1
1602,Cc1n[nH]c(C)c1-c1nc(C(=O)NC2CCC(=O)NC2)cs1
1917,CCc1nc(Cn2ccc(Br)cc2=O)no1
1965,OCC1CCCC1Nc1ccc2[nH]cnc2c1Cl
2138,COCC(=O)Nc1ccc(O)c(-c2nc(C(=O)NC3CCC(=O)NC3)cs2)c1
2186,CNC(=O)c1cn(C)c2ccc(N)cc12
2188,CNC(=O)c1cn(C)c2cc(Cl)ccc12
2207,Cn1cc(CNCc2cccc3ccc(N)nc23)c2ccccc21
2300,CN(C)C(=O)Cn1nc(CNc2ccc(O)cc2)c2ccccc21
2311,CNNCc1cccc(NCCCN(C)C)c1
2619,CNC(=O)c1cccc2cc(Cl)[nH]c12
2916,COCC(=O)Nc1cccc(C(=O)NCc2cccs2)c1
2919,O=C(Nc1ccccc1)c1cc(Cl)c2[nH]cnc2c1
2924,COCC(=O)Nc1ccccc1N
2925,Cc1cccc(O)c1Nc1ccccc1
2944,NC(=O)c1ccc(C(=O)Nc2ccccc2)c(Cl)c1
2947,O=C(Nc1ccccc1)c1ccc(CO)c2c1OCCO2
3204,CNC(=O)c1c(-c2cc[nH]n2)ccc2c1OCO2
3264,OCN1COc2ccc(-c3ccn[nH]3)cc21
3269,Nc1c(-c2ccn[nH]2)ccc2c1OCO2
3284,Oc1cc2c(cc1-c1ccn[nH]1)OCO2
3344,CNC(=O)c1cccc2cc(N)ccc12
3611,COCC(=O)Nc1ccc(O)c(C#N)c1N(C)CC(N)=O
3624,COCC(=O)Nc1ccc(O)cc1N
3625,Cc1cccc(O)c1Nc1ccc(O)cc1
3627,COc1ccccc1C(=O)Nc1ccc(O)cc1
3628,Oc1ccc(Nc2ccncc2O)cc1
3632,Cc1c[nH]c2cccc(C(=O)Nc3ccc(O)cc3)c12
3653,Oc1ccc(Nc2ncc3ccccc3c2O)cc1
3668,COCC(=O)NC1COc2ccc(CO)cc21
3830,COCC(=O)Nc1cc(Br)cc(N)n1
