,smiles
0,O=c1ccncn1CC1CCS(=O)(=O)C1
1,Cn1c(N)nc2cccc(NCc3cccs3)c21
2,CN(Cc1cccc(O)n1)C(=O)c1cn[nH]c1
3,NC(=O)c1ccc(C(=O)NC2CCC(=O)NC2)c(Cl)c1
4,CCOc1ncccc1C(=O)N(C)Cc1ccc(O)nc1
5,Nc1cc(-c2cc[nH]n2)cc2c1OCO2
6,Cc1ccncc1NC(=O)Cc1cccc(O)n1
7,CN(Cc1cccc(O)n1)C(=O)COc1cccc(F)c1
8,CC(C)c1cccc2[nH]cnc12
9,Cn1nccc1C(=O)NCc1ccc(O)s1
10,CC1CN(C(=O)c2cccc(F)c2)CCN1
11,CC(C)(C)c1cnc2ccccc2n1
12,CCc1nc(Cn2ccc(Br)cc2=O)no1
13,OCC1CCCC1Nc1ccc2[nH]cnc2c1Cl
14,CNC(=O)c1cn(C)c2cc(Cl)ccc12
15,COCC(=O)Nc1cccc(C(=O)NCc2cccs2)c1
16,O=C(Nc1ccccc1)c1cc(Cl)c2[nH]cnc2c1
17,COCC(=O)Nc1ccccc1N
18,Cc1cccc(O)c1Nc1ccccc1
19,NC(=O)c1ccc(C(=O)Nc2ccccc2)c(Cl)c1
20,COCC(=O)Nc1ccc(O)c(C#N)c1N(C)CC(N)=O
21,COCC(=O)Nc1ccc(O)cc1N
22,Cc1cccc(O)c1Nc1ccc(O)cc1
23,COc1ccccc1C(=O)Nc1ccc(O)cc1
24,Oc1ccc(Nc2ccncc2O)cc1
25,Cc1c[nH]c2cccc(C(=O)Nc3ccc(O)cc3)c12
